id,date,location,transaction_count,fraud_risk_score
summary_0,2023-01-03,Albuquerque,1,1.9088441190521783
summary_1,2023-01-17,Albuquerque,1,-0.0827174594023718
summary_2,2023-01-25,Albuquerque,1,-0.0827174594023718
summary_3,2023-01-30,Albuquerque,1,0.5811364000824784
summary_4,2023-02-15,Albuquerque,1,-0.0827174594023718
summary_5,2023-02-20,Albuquerque,1,-0.0827174594023718
summary_6,2023-02-21,Albuquerque,1,-0.0827174594023718
summary_7,2023-02-23,Albuquerque,1,-0.0827174594023718
summary_8,2023-03-10,Albuquerque,1,-0.0827174594023718
summary_9,2023-03-14,Albuquerque,1,-0.0827174594023718
summary_10,2023-03-20,Albuquerque,1,-0.0827174594023718
summary_11,2023-04-18,Albuquerque,1,-0.0827174594023718
summary_12,2023-04-19,Albuquerque,1,-0.0827174594023718
summary_13,2023-04-21,Albuquerque,1,-0.0827174594023718
summary_14,2023-04-24,Albuquerque,1,-0.0827174594023718
summary_15,2023-05-05,Albuquerque,1,-0.0827174594023718
summary_16,2023-05-10,Albuquerque,1,-0.0827174594023718
summary_17,2023-05-15,Albuquerque,1,-0.0827174594023718
summary_18,2023-06-01,Albuquerque,1,-0.0827174594023718
summary_19,2023-06-26,Albuquerque,1,-0.0827174594023718
summary_20,2023-07-12,Albuquerque,1,-0.0827174594023718
summary_21,2023-07-17,Albuquerque,2,-0.0413587297011859
summary_22,2023-08-07,Albuquerque,1,-0.0827174594023718
summary_23,2023-08-08,Albuquerque,1,-0.0827174594023718
summary_24,2023-08-17,Albuquerque,1,-0.0827174594023718
summary_25,2023-08-21,Albuquerque,1,-0.0827174594023718
summary_26,2023-08-28,Albuquerque,1,-0.0827174594023718
summary_27,2023-10-12,Albuquerque,1,-0.0827174594023718
summary_28,2023-10-16,Albuquerque,1,0.3172825405976282
summary_29,2023-10-25,Albuquerque,1,-0.0827174594023718
summary_30,2023-10-31,Albuquerque,1,-0.0827174594023718
summary_31,2023-11-17,Albuquerque,1,-0.0827174594023718
summary_32,2023-11-20,Albuquerque,1,-0.0827174594023718
summary_33,2023-11-27,Albuquerque,1,-0.0827174594023718
summary_34,2023-12-12,Albuquerque,1,-0.0827174594023718
summary_35,2023-12-18,Albuquerque,1,-0.0827174594023718
summary_36,2023-12-25,Albuquerque,2,-0.0413587297011859
summary_37,2023-12-28,Albuquerque,2,0.6224951297836642
summary_38,2023-01-05,Atlanta,1,2.5726979785370285
summary_39,2023-01-09,Atlanta,1,-0.0827174594023718
summary_40,2023-01-23,Atlanta,2,0.6224951297836642
summary_41,2023-01-24,Atlanta,1,-0.0827174594023718
summary_42,2023-02-02,Atlanta,1,-0.0827174594023718
summary_43,2023-02-13,Atlanta,1,-0.0827174594023718
summary_44,2023-02-20,Atlanta,2,-0.0413587297011859
summary_45,2023-02-21,Atlanta,1,-0.0827174594023718
summary_46,2023-02-27,Atlanta,1,-0.0827174594023718
summary_47,2023-03-03,Atlanta,1,-0.0827174594023718
summary_48,2023-03-23,Atlanta,1,-0.0827174594023718
