id,date,location,type,amount,channel
TX000001,2023-04-11 16:29:14,San Diego,Debit,-0.9712754695068416,ATM
TX000002,2023-06-27 16:44:19,Houston,Debit,0.2694396064236744,ATM
TX000003,2023-07-10 18:16:08,Mesa,Debit,-0.5868816229808057,Online
TX000004,2023-05-05 16:32:11,Raleigh,Debit,-0.3874559027822268,Online
TX000005,2023-10-16 17:51:24,Atlanta,Credit,-0.9734680903782914,Online
TX000006,2023-04-03 17:15:01,Oklahoma City,Debit,-0.7038442425922038,ATM
TX000007,2023-02-15 16:36:48,Seattle,Credit,-0.9952915199894398,ATM
TX000008,2023-05-08 17:47:59,Indianapolis,Credit,-0.4322675918424813,Branch
TX000009,2023-03-21 16:59:46,Detroit,Credit,-0.6556065834203091,Branch
TX000010,2023-03-31 16:06:57,Nashville,Debit,1.7759071839141245,ATM
TX000011,2023-03-14 16:46:10,Albuquerque,Credit,-0.958633639794889,Online
TX000012,2023-02-06 17:30:00,Memphis,Debit,-0.3685445477659726,Online
TX000013,2023-06-07 17:21:28,Mesa,Credit,0.674663351228483,Branch
TX000014,2023-11-20 16:39:15,Memphis,Debit,1.658739006096028,ATM
TX000015,2023-02-13 16:53:57,Louisville,Debit,-0.4474446394370476,Online
TX000016,2023-12-12 16:23:31,Denver,Debit,0.575070400083101,ATM
TX000017,2023-10-30 16:52:49,Austin,Credit,0.8846067996697973,Branch
TX000018,2023-12-14 18:32:14,Columbus,Debit,0.669216058750975,Online
TX000019,2023-02-21 16:56:50,Albuquerque,Credit,-0.9555502666944128,Branch
TX000020,2023-06-08 18:18:50,Columbus,Credit,-0.7746590447998077,Online
TX000021,2023-02-28 16:36:58,Los Angeles,Debit,-0.8163188413573532,Branch
TX000022,2023-08-11 18:31:31,Las Vegas,Debit,-0.7257019319044686,Branch
TX000023,2023-06-06 18:54:15,Atlanta,Debit,-0.8407117485522317,Online
TX000024,2023-05-02 18:25:46,Fort Worth,Debit,0.1652901150298107,Online
TX000025,2023-03-02 16:43:56,Raleigh,Debit,-0.5209316983317309,Online
TX000026,2023-10-20 17:53:13,Houston,Credit,-0.9938868722436672,Online
TX000027,2023-04-17 16:37:01,Miami,Debit,-0.1735725887125261,ATM
TX000028,2023-03-29 16:42:38,Milwaukee,Debit,-0.8814122734785179,Branch
TX000029,2023-01-24 16:18:32,Las Vegas,Debit,-0.5829074976513031,Online
TX000030,2023-09-20 16:55:42,Detroit,Debit,-0.82711064720902,Branch
TX000031,2023-07-17 17:49:22,Miami,Credit,-0.9225581745193172,Online
TX000032,2023-02-06 16:24:24,Baltimore,Debit,-0.8170040353796812,ATM
TX000033,2023-09-25 16:26:00,New York,Debit,0.3386784623799238,ATM
TX000034,2023-03-13 17:23:24,Los Angeles,Debit,1.9878034353190732,Online
TX000035,2023-10-27 16:42:49,San Francisco,Credit,-0.1450342576825629,Branch
TX000036,2023-10-16 16:32:56,Seattle,Debit,-0.5921233572516154,Branch
TX000037,2023-11-21 16:58:44,Milwaukee,Debit,-0.7518763435574001,Branch
TX000038,2023-03-02 17:53:32,San Jose,Debit,1.204866485705928,ATM
TX000039,2023-10-12 17:07:40,Mesa,Debit,1.7051609011087532,ATM
TX000040,2023-01-24 17:17:20,Oklahoma City,Debit,0.1303109601899639,Online
TX000041,2023-07-31 18:39:50,San Antonio,Debit,0.1057810141906198,ATM
TX000042,2023-01-09 16:13:21,Philadelphia,Debit,-0.9029958851818516,Online
TX000043,2023-04-20 18:57:43,Charlotte,Credit,-0.1924496840276639,Online
TX000044,2023-04-12 16:03:37,Tucson,Debit,-0.8300227218039142,ATM
TX000045,2023-07-26 16:52:28,Louisville,Debit,0.0230095762933913,Branch
TX000046,2023-10-04 17:49:29,Chicago,Debit,0.4716746221137982,Branch
TX000047,2023-12-13 16:01:38,Baltimore,Debit,-0.4560095647161482,Branch
TX000048,2023-10-09 16:29:40,Oklahoma City,Debit,0.7285196013834677,Online
TX000049,2023-11-27 16:45:57,Denver,Debit,1.128193274607419,Online
TX000050,2023-03-27 16:45:18,Sacramento,Credit,-0.9441417862226508,Online
TX000051,2023-02-13 16:59:39,Kansas City,Credit,0.4376547389052105,Online
TX000052,2023-02-21 17:45:55,Omaha,Debit,0.4349824822181312,Online
TX000053,2023-06-07 16:45:34,Virginia Beach,Debit,-0.7268667617424263,Branch
